Anonymous|NULL
Blavatsky, H. P. (Helena Petrovna)|1831
Gourmont, Remy de|1858
Hamp, Sidford F. (Sidford Frederick)|1855
Cuvru-Magot, Henriette|NULL
Rule, Philip M.|NULL
unknown|NULL
Dix, Beulah Marie|1876
Meredith, George|1828
McCutcheon, George Barr|1866
Scott, Walter|1771
Kite, Elizabeth Sarah|1864
Molesworth, Mrs.|1839
Spence, Lewis|1874
Clayton, Ellen C. (Ellen Creathorne)|1834
Quinn, S. J. (Silvanus Jackson)|1837
Atkinson, William Walker|1862
Gourmont, Remy de|1858
unknown|NULL
Root, Esther Sayles|NULL
unknown|NULL
Sutton, Jeff|1913
Benson, E. F. (Edward Frederic)|1867
Hulbert, Archer Butler|1873
Maclaren, Ian|1850
Oregon Historical Society|NULL
Huneker, James|1857
Rathborne, St. George|1854
Smith, Francis Hopkinson|1838
Miller, Olive Thorne|1831
Sims, John|1749
Strang, Herbert|NULL
Sumner, Charles|1811
Parlette, Ralph Albert|1870
Stephenson, William B.|1880
Barbour, John|NULL
Bartlett, Alden Eugene|1873
Maurois, André|1885
Jahn, Otto|1813
unknown|NULL
Heilbron, William Casper|1864
Braddon, M. E. (Mary Elizabeth)|1835
Minnigh, H. N. (Henry N.)|NULL
Brady, Cyrus Townsend|1861
Fenn, George Manville|1831
Smith, Justin Harvey|1857
Baum, L. Frank (Lyman Frank)|1856
Gissing, George|1857
Hubbard, Elbert|1856
Holland, Rupert Sargent|1878
Altsheler, Joseph A. (Joseph Alexander)|1862
Andersen, H. C. (Hans Christian)|1805
Hungerford, Edward|1875
Le Fanu, Joseph Sheridan|1814
S., A. P. I. (Samuels, Arthur Purefoy Irwin)|NULL
Wills, C. J. (Charles James)|1842
Phillips, David Graham|1867
Williams, Adene|NULL
Millay, Edna St. Vincent|1892
Marie, de France, active 12th century|NULL
Baum, L. Frank (Lyman Frank)|1856
Blackmore, R. D. (Richard Doddridge)|1825
Torrey, William|1814
Meade, L. T.|1854
Sharp, Dallas Lore|1870
Various|NULL
Anonymous|NULL
Gibson, W. Hamilton (William Hamilton)|1850
Mitchell, Lebbeus|1879
Nesbit, Hume|NULL
Various|NULL
Wells, Carolyn|1862
Hardwick, Charles|1817
Various|NULL
Prime, Samuel Irenæus|1812
Pu, Songling|1640
Stoker, Bram|1847
Various|NULL
Johnston, Mary|1870
Morrison, Arthur|1863
Pepys, Samuel|1633
Lorwin, Lewis L. (Lewis Levitzki)|1883
Delaborde, Henri, comte|1811
Meynell, Everard|1882
Farnol, Jeffery|1878
Various|NULL
Meredith, George|1828
Dewey, John|1859
Taylor, Henry Osborn|1856
Pennell, Joseph|1857
Dumas, Alexandre|1802
Various|NULL
Smith, George Adam|1856
Stevens, Augusta de Grasse|1852
Various|NULL
Hodder, Reginald|NULL
O'Donnell, Elliott|1872
William II, German Emperor|1859
Mathews, Joanna H. (Joanna Hooe)|1849
Mackintosh, Charles Henry|1820
Busk, Rachel Harriette|1831
Goforth, Rosalind|1864
Treves, Frederick|1853
Wells, Carolyn|1862
Rathborne, St. George|1854
Goodridge Roberts, Theodore|1877
Miller, Alex. McVeigh, Mrs.|1850
Abbott, Eleanor Hallowell|1872
Pepys, Samuel|1633
Glasser, Allen|1908
Federal Writers' Project of the Works Progress Administration for the State of North Dakota|NULL
Guild, Curtis|1827
Curl, Mervin James|NULL
Stirling, Willam|NULL
St. Johnston, Alfred|NULL
Crockett, S. R. (Samuel Rutherford)|1860
Noake, John|1816
unknown|NULL
unknown|NULL
Clark, Walter A. (Walter Augustus)|NULL
Claridge, R. T.|NULL
Gibbons, Helen Davenport|1882
Linscott, Herbert B., Mrs.|NULL
Reynolds, Mack|1917
Brown, Abbie Farwell|1871
Various|NULL
Davis, John Francis|1859
Rae, Janet Milne|1844
Deeping, Warwick|1877
Hansard, Réné|NULL
Nicolas, Nicholas Harris, Sir|1799
Marsh, Richard|1857
unknown|NULL
Murdoch, John|1852
Various|NULL
Meredith, George|1828
Allen, Grant|1848
Fewkes, Jesse Walter|1850
Marlowe, Christopher|1564
Various|NULL
Meredith, George|1828
Catherwood, Mary Hartwell|1847
Abbott, Jacob|1803
Phillpotts, Eden|1862
Carter, Herbert, active 1909-1917|NULL
Various|NULL
Various|NULL
Dawson, John William, Sir|1820
Dowling, Richard|1846
Cleland, Robert|NULL
Mangasarian, M. M. (Mangasar Mugurditch)|1859
Snell, Roy J. (Roy Judson)|1878
Barbour, Ralph Henry|1870
Balfour, Francis M. (Francis Maitland)|1851
Serao, Matilde|1856
Various|NULL
Sieveking, I. Giberne (Isabel Giberne)|NULL
Birmingham, George A.|1865
Heath, Sidney|1872
Proudhon, P.-J. (Pierre-Joseph)|1809
Fletcher, Horace|1849
Foster, Finley Melville Kendall|1892
Pierotti, Ermete|NULL
Pierotti, Ermete|NULL
Gravengaard, N. P. (Niels Peter)|1865
Gould, Arthur Corbin|1850
Cook, Joel|1842
Wells, Carolyn|1862
Dunne, Finley Peter|1867
Soyer, Alexis|1809
Boucicault, Dion|1820
Various|NULL
Mason, A. E. W. (Alfred Edward Woodley)|1865
Jewett, Sarah Orne|1849
Bergengren, Ralph|1871
unknown|NULL
Bowman, Florence L.|1880
Panache, Madame|1789
Kingsley, Henry|1830
Colby, Charles W. (Charles William)|1867
Abbott, Edwin Abbott|1838
Bensusan, S. L. (Samuel Levy)|1872
Wilberforce, William|1759
Davies, John, Sir|1569
Le Fanu, Joseph Sheridan|1814
Black, William|1841
Day, Thomas Fleming|1861
Watrous, Edwin Alfred|NULL
Donat, Josef|1868
Unknown|NULL
Grierson, Francis|1848
Various|NULL
Irving, Washington|1783
Lounsbery, Elizabeth|NULL
Gissing, George|1857
Haeckel, Ernst|1834
Flandrau, Charles Macomb|1871
Shiel, M. P. (Matthew Phipps)|1865
Waley, Arthur|1889
Various|NULL
Molesworth, Mrs.|1839
Lindsay, Vachel|1879
Le Queux, William|1864
Miller, Alex. McVeigh, Mrs.|1850
LeConte, Joseph|1823
Sturt, Charles|1795
Wirt, Mildred A. (Mildred Augustine)|1905
Holt, Emily Sarah|1836
Pepys, Samuel|1633
Dostoyevsky, Fyodor|1821
Kendall, Ralph S. (Ralph Selwood)|1878
Irving, H. B. (Henry Brodribb)|1870
Hanguillart, André Godefroy Lionel|NULL
Phillpotts, Eden|1862
Vose, Edward Neville|NULL
Lane, Franklin K.|1864
Various|NULL
Moodie, Susanna|1803
Moore, Thomas|1779
Wharton, Edith|1862
Brereton, F. S. (Frederick Sadleir)|1872
Campbell, Joseph|1879
unknown|NULL
Wylie, I. A. R. (Ida Alexa Ross)|1885
Snell, Roy J. (Roy Judson)|1878
Harkins, E. F. (Edward Francis)|1872
Madison, James|1751
Aimard, Gustave|1818
Van Alstyne, Lawrence|1839
Hervey, Walter Lowrie|1862
Chadwick, Lester|NULL
Creighton, Charles|1847
Hill, Frederick Trevor|1866
Young, Clarence|NULL
Roberts, B. H. (Brigham Henry)|1857
Kock, Paul de|1793
Smith, Richard Rein|1930
Scoville, Samuel|1872
Dean, Graham M.|1904
May, Sophie|1833
Graves, Charles L. (Charles Larcom)|1856
Various|NULL
Balfour, Francis M. (Francis Maitland)|1851
Anonymous|NULL
Austen, Jane|1775
Marks, Harry F.|NULL
Motley, John Lothrop|1814
Hearn, Lafcadio|1850
Farjeon, B. L. (Benjamin Leopold)|1833
Tilden, Samuel J. (Samuel Jones)|1814
Home, Gordon|1878
unknown|NULL
Rockwood, Roy|NULL
Limburg Brouwer, P. A. S. van (Petrus Abraham Samuel)|1829
Wallace, Dillon|1863
Various|NULL
Campbell, R. W.|NULL
Le Queux, William|1864
Morley, Sylvanus Griswold|1883
Drake, Samuel Adams|1833
Tracy, Louis|1863
Anderson, Ada Woodruff|1860
unknown|NULL
Tyler, John M. (John Mason)|1851
Ellis, Edward Sylvester|1840
Thompson, C. J. S. (Charles John Samuel)|1862
Adams, F. Colburn (Francis Colburn)|NULL
Amundsen, Roald|1872
Aimard, Gustave|1818
Comins, Elizabeth B. (Elizabeth Barker)|NULL
González de Mendoza, Juan|1545
Motley, John Lothrop|1814
Pemberton, Max|1863
Gibbs, Philip|1877
Peard, Frances Mary|1835
Harriot, Thomas|1560
Whishaw, Frederick|1854
Lagerlöf, Selma|1858
Curwood, James Oliver|1878
Hocking, Silas K. (Silas Kitto)|1850
Jones, Rufus M. (Rufus Matthew)|1863
Unknown|NULL
Various|NULL
Various|NULL
Bowen, Robert Sidney|1900
Marston, John|NULL
Various|NULL
Various|NULL
Various|NULL
Bennett, Arnold|1867
O'Shaughnessy, Edith|1870
Macdonell, Arthur Anthony|1854
Wirt, Mildred A. (Mildred Augustine)|1905
Baxter, Richard|1615
White, Mary|1869
Bennet, Robert Ames|1870
Various|NULL
Jones, Neil R.|1909
Drake, James, active 1825|NULL
Blackmore, R. D. (Richard Doddridge)|1825
Bayley, Harold|NULL
Maher, Richard Aumerle|1880
Dawson, William Harbutt|1860
Meredith, George|1828
Jacobs, Joseph|1854
Machen, Arthur|1863
Wirt, Mildred A. (Mildred Augustine)|1905
Scott, Charles Augustus|1830
Fulton, Edwin Giles|1867
Nerval, Gérard de|1808
Murasaki Shikibu|1008
Meredith, George|1828
De Vere, Aubrey|1814
Revell, James|NULL
Seklemian, A. K.|NULL
Matthews, Stanley R.|NULL
Meredith, George|1828
Haddon, Alfred C. (Alfred Cort)|1855
Thurston, Edgar|1855
Austrian, Delia|NULL
Bush, Bertha Evangeline|1866
Bateson, William|1861
Stobart, M. A. (Mabel Annie)|1862
Baxter, Richard|1615
Harris, Miriam Coles|1834
Blackburn, Henry|1830
Freeman, Lewis R. (Lewis Ransome)|1878
Dacus, J. A. (Joseph A.)|NULL
Buick, Thomas Lindsay|1866
Pepys, Samuel|1633
Tucker, George Fox|1852
Flynt, Josiah|1869
Neally, Amy|NULL
Stannus, Graydon, Mrs.|NULL
Anonymous|NULL
Stowe, Harriet Beecher|1811
Le Queux, William|1864
Brabourne, Edward Hugessen Knatchbull-Hugessen, Baron|1829
Various|NULL
Ainsworth, William Harrison|1805
Steinmetz, Andrew|1816
Baring-Gould, S. (Sabine)|1834
Talbot, Frederick Arthur Ambrose|1880
Strang, Herbert|NULL
