Abbott, Belle K. (Belle Kendrick)|NULL
Abbott, Edwin Abbott|1838
Abbott, Eleanor Hallowell|1872
Abbott, Jacob|1803
Abbott, Jane|1881
Abbott, John S. C. (John Stevens Cabot)|1805
Abbott, L. A.|1813
Abbott, Lemuel Abijah|1842
Abbott, Lyman|1835
Abbott, Wilbur Cortez|1869
Abelard, Peter|1079
Abernathy, Robert|1924
Abney, William de Wiveleslie, Sir|1843
About, Edmond|1828
Accum, Friedrich Christian|1769
Ackland, T. S. (Thomas Suter)|1817
Acland, Charles|NULL
Adams, Brooks|1848
Adams, Edward|1877
Adams, F. Colburn (Francis Colburn)|NULL
Adams, H. A., Mrs.|NULL
Adams, H. G. (Henry Gardiner)|1811
Adams, Henry|1838
Adams, John G. (John Greenleaf)|1810
Adams, John S. (John Stowell)|NULL
Adams, John|1859
Adams, Katharine|NULL
Adams, Morley|NULL
Adams, Samuel Hopkins|1871
Adams, W. H. Davenport (William Henry Davenport)|1828
Adams, William Alexander|NULL
Adams, William Davenport|1851
Adcock, Arthur St. John|1864
Adcock, K. J.|NULL
Adderup, Andrew|NULL
Addison, C. G. (Charles Greenstreet)|NULL
Addison, Joseph|1672
Aduarte, Diego|1569
Ahlborn, Richard E.|1933
Aikman, William|1824
Aimard, Gustave|1818
Ainsworth, William Harrison|1805
Aladel, Jean Marie|NULL
Albertson, Ralph|1866
Alcock, Deborah|1835
Alcott, Amos Bronson|1799
Alcott, Louisa May|1832
Alden, John B. (John Berry)|1847
Alderman, L. R. (Lewis Raymond)|1872
Aldridge, Janet|NULL
Alexander, Francesca|1837
Alexander, James W. (James Waddel)|1839
Alexander, Mrs.|1825
Alexander, William S.|1858
Alexander, William|1824
Alfriend, Frank H. (Frank Heath)|1841
Alger, Horatio, Jr.|1832
Ali, Mohammed|NULL
Allan, G. A. T. (George A. T.)|NULL
Allen, E. P. S.|1885
Allen, Edith|1880
Allen, Ethan|1738
Allen, George Hoyt|1857
Allen, Gladys|NULL
Allen, Grant|1848
Allen, James Lane|1849
Allen, James|1864
Allen, Jay Winthrop|NULL
Allen, Quincy|NULL
Allen, Stanton P.|1849
Allen, Willis Boyd|1855
Allingham, William|1824
Allnutt, Sidney|NULL
Altsheler, Joseph A. (Joseph Alexander)|1862
American Railway Association|NULL
American School of Correspondence|NULL
American Society of Civil Engineers|NULL
American Sunday-School Union|NULL
Ames, Azel|1845
Amundsen, Roald|1872
Andersen, H. C. (Hans Christian)|1805
Anderson, Ada Woodruff|1860
Anderson, Andrew A.|NULL
Anderson, David Allen|NULL
Anderson, Edward L. (Edward Lowell)|1842
Anderson, Ellen L.|NULL
Anderson, Isabel|1876
Anderson, Karen|1932
Anderson, Poul|1926
Anderson, Sherwood|1876
Anderson, William|NULL
Andrews, C. C. (Christopher Columbus)|1829
Andrews, Lincoln C. (Lincoln Clarke)|1867
Andrews, Matthew Page|1879
Andrews, Silas M. (Silas Milton)|1805
Andrews, William|1848
Andreyev, Leonid|1871
Angell, Norman|1874
Annet, Peter|1693
Anonymous|NULL
Anson, George Anson, Baron|1697
Anstey, F.|1856
Anti-slavery Convention of American Women|NULL
Antin, Mary|1881
Appleton, Victor|NULL
Applin, Arthur|1873
Arber, Agnes Robertson|1879
Archer, Effie Archer|NULL
Arlen, Michael|1895
Arlidge, J. T. (John Thomas)|1822
Armistead, Wilson|NULL
Armitage, Ella S.|NULL
Armitage, Robert B.|NULL
