`Abdu'l-Bahá|1844
A-No. 1|1872
A. L. O. E.|1821
A.L.O.C.|NULL
Aaberg, J. C. (Jens Christian)|1877
Aanrud, Hans|1863
Aaron, S. F. (Samuel Francis)|1862
Abbey, Henry|1842
Abbot, Francis Ellingwood|1836
Abbot, Willis J. (Willis John)|1863
Abbott, Belle K. (Belle Kendrick)|NULL
Abbott, Edwin Abbott|1838
Abbott, Eleanor Hallowell|1872
Abbott, Frank Frost|1860
Abbott, G. F. (George Frederick)|NULL
Abbott, Henry|1850
Abbott, Jacob|1803
Abbott, Jane|1881
Abbott, John S. C. (John Stevens Cabot)|1805
Abbott, Keene|1876
Abbott, L. A.|1813
Abbott, Lemuel Abijah|1842
Abbott, Lyman|1835
Abbott, Wilbur Cortez|1869
Abel, Annie Heloise|1873
Abel, Franklin|NULL
Abelard, Peter|1079
Abercrombie, John|1780
Abercrombie, Lascelles|1881
Aberigh-Mackay, George|1848
Abernathy, Robert|1924
Abhedananda, Swami|1866
Abney, William de Wiveleslie, Sir|1843
About, Edmond|1828
Abrahams, Israel|1858
Abrams, Alex. St. Clair (Alexander St. Clair)|NULL
Abu al-Ala al-Maarri|973
Accum, Friedrich Christian|1769
Achenwall, Gottfried|1719
Acheson, Arthur|1864
Ackerman, Carl W. (Carl William)|1890
Ackerman, Forrest J.|1916
Ackland, T. S. (Thomas Suter)|1817
Acland, Charles|NULL
Acland, John Edward|1848
Aconite, Tobias|NULL
Acton, John Emerich Edward Dalberg Acton, Baron|1834
Adam, G. Mercer (Graeme Mercer)|1830
Adam, Juliette|1836
Adam, Paul|NULL
Adams, Andy|1859
Adams, Brooks|1848
Adams, Charles Francis|1835
Adams, Edward F. (Edward Francis)|1839
Adams, Edward|1877
Adams, Ephraim Douglass|1865
Adams, F. Colburn (Francis Colburn)|NULL
Adams, Francis Alexandre|1874
Adams, Francis William Lauderdale|1862
Adams, Franklin P. (Franklin Pierce)|1881
Adams, Frederick Upham|1859
Adams, H. A., Mrs.|NULL
Adams, H. C. (Henry Cadwallader)|1817
Adams, H. G. (Henry Gardiner)|1811
Adams, H. S. (Henry Sherman)|1864
Adams, Henry|1838
Adams, J. S., Mrs.|1845
Adams, James Meade|1862
Adams, John G. (John Greenleaf)|1810
Adams, John Quincy|1767
Adams, John S. (John Stowell)|NULL
Adams, John Turvill|1805
Adams, John|1735
Adams, Joseph Quincy|1881
